Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000285	1	12	5	4	4	8	6	40
OG0000286	1	22	6	1	2	3	5	40
OG0000287	0	39	0	0	1	0	0	40
OG0000288	0	4	0	0	1	0	35	40
OG0000289	0	0	0	0	0	0	40	40
OG0000290	2	17	3	4	5	4	4	39
OG0000291	4	7	9	4	4	7	4	39
OG0000292	22	8	2	3	2	1	1	39
OG0000293	3	17	6	3	4	5	1	39
OG0000294	5	10	7	3	6	3	5	39
OG0000295	1	10	16	2	3	1	6	39
OG0000296	2	6	7	5	7	0	12	39
OG0000297	3	15	5	4	5	4	3	39
OG0000298	3	26	2	2	3	2	1	39
OG0000299	3	3	5	5	4	8	11	39
OG0000300	12	12	2	4	5	2	2	39
OG0000301	1	15	7	5	4	5	2	39
OG0000302	1	32	0	0	0	0	6	39
OG0000303	2	17	3	6	2	6	3	39
OG0000304	2	12	6	6	5	6	2	39
OG0000305	3	13	4	5	4	5	5	39
OG0000306	2	9	2	5	6	7	8	39
OG0000307	0	2	0	0	0	0	37	39
OG0000308	0	10	2	4	3	9	11	39
OG0000309	0	0	1	0	0	0	38	39
OG0000310	38	0	0	0	0	0	0	38
OG0000311	1	16	5	5	4	3	4	38
OG0000312	38	0	0	0	0	0	0	38
OG0000313	4	10	9	3	2	4	6	38
OG0000314	6	14	4	3	3	4	4	38
OG0000315	6	12	4	5	5	4	2	38
OG0000316	1	26	2	2	2	1	4	38
OG0000317	1	14	6	2	5	5	5	38
OG0000318	0	19	2	1	9	1	6	38
OG0000319	0	28	1	4	4	1	0	38
OG0000320	0	23	2	4	2	7	0	38
OG0000321	0	15	9	2	5	4	3	38
OG0000322	0	38	0	0	0	0	0	38
OG0000323	0	9	1	4	6	8	10	38
OG0000324	0	17	2	6	4	4	5	38
OG0000325	8	8	4	4	5	4	4	37
OG0000326	4	20	2	3	2	2	4	37
OG0000327	2	9	5	5	5	6	5	37
OG0000328	1	14	5	5	5	4	3	37
OG0000329	1	21	2	5	2	3	3	37
OG0000330	1	5	1	9	8	12	1	37
OG0000331	10	10	5	3	4	3	2	37
OG0000332	2	11	4	5	6	5	4	37
OG0000333	1	1	1	0	1	0	33	37
OG0000334	2	15	4	5	5	3	3	37
OG0000335	2	15	1	4	6	5	4	37
OG0000336	1	30	1	1	1	1	2	37
